address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"956 Wiggins Way, 
El Cajon, CA  92020",El Cajon,,,,16,,K-12,26240,,32.782833,-116.969765,Berean Christian Academy,,https://www.greatschools.org/california/el-cajon/26240-Berean-Christian-Academy/?s_cid=gsapi,(619) 588-6862,https://www.greatschools.org/school/rating.page?state=CA&id=26240&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=26240&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/26240,CA,private,
"350 Cypress Lane, Ste. C, 
El Cajon, CA  92020",El Cajon,,,,104,(619) 312-1923,6-8,26248,,32.817337,-116.965195,Foothills Christian Middle School,,https://www.greatschools.org/california/el-cajon/26248-Foothills-Christian-Middle-School/?s_cid=gsapi,(619) 303-1641,https://www.greatschools.org/school/rating.page?state=CA&id=26248&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=26248&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/26248,CA,private,http://foothillsschool.net
"1663 Buckeye Drive, 
El Cajon, CA  92021",El Cajon,,,,7,,1-12,26262,,32.818153,-116.94808,Pacific Independent Education,,https://www.greatschools.org/california/el-cajon/26262-Pacific-Independent-Education/?s_cid=gsapi,(619) 749-9384,https://www.greatschools.org/school/rating.page?state=CA&id=26262&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=26262&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/26262,CA,private,
"2815 Steele Canyon Road, 
El Cajon, CA  92019",El Cajon,,,,,,K-8,26266,,32.741676,-116.91345,Rancho San Diego Academy,,https://www.greatschools.org/california/el-cajon/26266-Rancho-San-Diego-Academy/?s_cid=gsapi,(619) 447-6776,https://www.greatschools.org/school/rating.page?state=CA&id=26266&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=26266&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/26266,CA,private,
"1550 Melody Lane, 
El Cajon, CA  92019",El Cajon,Grossmont Union High School District,688,0616230,,,n/a,31038,,32.79713,-116.92436,Grossmont Adult Center,061623013638,https://www.greatschools.org/california/el-cajon/31038-Grossmont-Adult-Center/?s_cid=gsapi,(619) 588-3512,https://www.greatschools.org/school/rating.page?state=CA&id=31038&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31038&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31038,CA,public,http://adultschool.guhsd.net/
"230 Jamacha Road, 
El Cajon, CA  92019",El Cajon,Grossmont Union High School District,688,0616230,32,,9-12,31118,1,32.793343,-116.93536,Reach Academy,061623013677,https://www.greatschools.org/california/el-cajon/31118-Reach-Academy/?s_cid=gsapi,(619) 588-3580,https://www.greatschools.org/school/rating.page?state=CA&id=31118&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31118&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31118,CA,public,
"1600 North Cuyamaca Street, 
El Cajon, CA  92020",El Cajon,Grossmont Union High School District,688,0616230,65,,9-12,31184,1,32.817738,-116.980515,Merit Academy,061623013711,https://www.greatschools.org/california/el-cajon/31184-Merit-Academy/?s_cid=gsapi,(619) 956-0600,https://www.greatschools.org/school/rating.page?state=CA&id=31184&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31184&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31184,CA,public,
"4612 Dehesa Road, 
El Cajon, CA  92019",El Cajon,Dehesa Elementary,681,0610710,80,,K-12,32159,3,32.781116,-116.84889,Methodschools,061071013762,https://www.greatschools.org/california/el-cajon/32159-Methodschools/?s_cid=gsapi,(760) 224-0758,https://www.greatschools.org/school/rating.page?state=CA&id=32159&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32159&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32159,CA,charter,http://methodschools.org/
"4612 Dehesa Road, 
El Cajon, CA  92019",El Cajon,Dehesa Elementary,681,0610710,33,,K-12,32160,,32.781116,-116.84889,Mosaica Online Academy Of Southern California,061071013816,https://www.greatschools.org/california/el-cajon/32160-Mosaica-Online-Academy-Of-Southern-California/?s_cid=gsapi,(877) 228-6401,https://www.greatschools.org/school/rating.page?state=CA&id=32160&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32160&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32160,CA,charter,www.cadolphins.org
"4612 Dehesa Road, 
El Cajon, CA  92019",El Cajon,Dehesa Elementary,681,0610710,,,K-12,32161,,32.781116,-116.84889,Inspire Charter School - South,,https://www.greatschools.org/california/el-cajon/32161-Inspire-Charter-School---South/?s_cid=gsapi,(626) 932-1802,https://www.greatschools.org/school/rating.page?state=CA&id=32161&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32161&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32161,CA,charter,www.inspireschools.org
"1600 Cuyamaca Street, 
El Cajon, CA  92020",El Cajon,Grossmont Union High School District,688,0616230,,,9-12,32164,,32.81686,-116.97966,Idea Center,,https://www.greatschools.org/california/el-cajon/32164-Idea-Center/?s_cid=gsapi,(619) 956-4332,https://www.greatschools.org/school/rating.page?state=CA&id=32164&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32164&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32164,CA,public,www.guhsd.net/our-schools/idea
"4200 Parks Avenue, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,,,4-8,32166,,32.75519,-117.03026,La Mesa Arts Academy,,https://www.greatschools.org/california/la-mesa/32166-La-Mesa-Arts-Academy/?s_cid=gsapi,(619) 668-5730,https://www.greatschools.org/school/rating.page?state=CA&id=32166&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32166&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32166,CA,public,http://www.lmsvschools.org/domain/25
"4200 Parks Avenue, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,950,(619) 668-8303,7-8,5964,,32.75534,-117.03025,La Mesa Middle School,062025002432,https://www.greatschools.org/california/la-mesa/5964-La-Mesa-Middle-School/?s_cid=gsapi,(619) 668-5730,https://www.greatschools.org/school/rating.page?state=CA&id=5964&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5964&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5964,CA,public,
"3900 Violet Street, 
La Mesa, CA  91941",La Mesa,Lemon Grove School District,693,0621330,659,(619) 825-5783,PK-8,5956,5,32.748455,-117.04493,Vista La Mesa Academy,062133002556,https://www.greatschools.org/california/la-mesa/5956-Vista-La-Mesa-Academy/?s_cid=gsapi,(619) 825-5645,https://www.greatschools.org/school/rating.page?state=CA&id=5956&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5956&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5956,CA,public,http://www.lgsd.k12.ca.us/vlm/
"1 La Mesa Way, 
Monterey, CA  93940",Monterey,Monterey Peninsula Unified School District,387,0625530,421,(831) 649-3942,K-5,3272,6,36.58171,-121.8795,La Mesa Elementary School,062553003830,https://www.greatschools.org/california/monterey/3272-La-Mesa-Elementary-School/?s_cid=gsapi,(831) 649-1872,https://www.greatschools.org/school/rating.page?state=CA&id=3272&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3272&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3272,CA,public,https://lme-mpusd-ca.schoolloop.com/
"4370 Parks Avenue, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,468,(619) 668-8352,K-6,5963,7,32.757675,-117.03212,La Mesa Dale Elementary School,062025002431,https://www.greatschools.org/california/la-mesa/5963-La-Mesa-Dale-Elementary-School/?s_cid=gsapi,(619) 668-5740,https://www.greatschools.org/school/rating.page?state=CA&id=5963&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5963&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5963,CA,public,http://www.lmsvsd.k12.ca.us/lamesadale
"7525 El Cajon Boulevard, 
La Mesa, CA  91942",La Mesa,,,,36,,K-8,9608,,32.76776,-117.03556,Calvary Chapel La Mesa Christian,A9100613,https://www.greatschools.org/california/la-mesa/9608-Calvary-Chapel-La-Mesa-Christian/?s_cid=gsapi,(619) 697-0165,https://www.greatschools.org/school/rating.page?state=CA&id=9608&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=9608&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/9608,CA,private,
"5150 Wilson Street, 
La Mesa, CA  91941",La Mesa,,,,129,,K-5,10637,,32.7729,-117.00647,Warren-Walker School/La Mesa,AA890098,https://www.greatschools.org/california/la-mesa/10637-Warren-Walker-School-La-Mesa/?s_cid=gsapi,(619) 460-3663,https://www.greatschools.org/school/rating.page?state=CA&id=10637&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=10637&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/10637,CA,private,
"26623 May Way, 
Santa Clarita, CA  91351",Santa Clarita,William S. Hart Union High,326,0642510,1126,(661) 252-3326,7-8,3054,6,34.40847,-118.48143,La Mesa Junior High School,064251003268,https://www.greatschools.org/california/santa-clarita/3054-La-Mesa-Junior-High-School/?s_cid=gsapi,(661) 250-0022,https://www.greatschools.org/school/rating.page?state=CA&id=3054&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3054&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3054,CA,public,www.hartdistrict.org
"4811 Glen Street, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,,,K-8,32168,,32.766407,-117.00881,La Mesa-Spring Valley Home School/Independent Study,,https://www.greatschools.org/california/la-mesa/32168-La-Mesa-Spring-Valley-Home-School-Independent-Study/?s_cid=gsapi,(619) 668-8366,https://www.greatschools.org/school/rating.page?state=CA&id=32168&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32168&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32168,CA,public,
", 
La Mesa, CA  91942",La Mesa,San Diego County Office Of Education,1067,0691030,,,7-12,31000,,32.774567,-117.01549,East Region Community School Of Greater La Mesa,069103012873,https://www.greatschools.org/california/la-mesa/31000-East-Region-Community-School-Of-Greater-La-Mesa/?s_cid=gsapi,(619) 668-4660,https://www.greatschools.org/school/rating.page?state=CA&id=31000&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31000&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31000,CA,public,
"8787 Lemon Avenue, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,656,(619) 668-8344,K-6,5967,6,32.768208,-117.00836,Lemon Avenue Elementary School,062025002435,https://www.greatschools.org/california/la-mesa/5967-Lemon-Avenue-Elementary-School/?s_cid=gsapi,(619) 668-5835,https://www.greatschools.org/school/rating.page?state=CA&id=5967&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5967&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5967,CA,public,http://www.lmsvsd.k12.ca.us/Domain/16
"5400 Maryland Avenue, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,410,(619) 668-5746,K-6,5969,7,32.77764,-117.03819,Maryland Avenue Elementary School,062025002437,https://www.greatschools.org/california/la-mesa/5969-Maryland-Avenue-Elementary-School/?s_cid=gsapi,(619) 668-5744,https://www.greatschools.org/school/rating.page?state=CA&id=5969&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5969&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5969,CA,public,http://www.lmsvschools.org/marylandavenue
"4354 Conrad Drive, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,730,(619) 668-8343,K-6,5970,8,32.75952,-116.98576,Murdock Elementary School,062025002438,https://www.greatschools.org/california/la-mesa/5970-Murdock-Elementary-School/?s_cid=gsapi,(619) 668-5775,https://www.greatschools.org/school/rating.page?state=CA&id=5970&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5970&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5970,CA,public,http://www.lmsvschools.org/domain/19
"8305 El Paso Street, 
La Mesa, CA  91942",La Mesa,La Mesa-Spring Valley School District,694,0620250,786,(619) 668-8318,K-6,5971,7,32.788387,-117.01987,Murray Manor Elementary School,062025002439,https://www.greatschools.org/california/la-mesa/5971-Murray-Manor-Elementary-School/?s_cid=gsapi,(619) 668-5865,https://www.greatschools.org/school/rating.page?state=CA&id=5971&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5971&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5971,CA,public,http://www.lmsvsd.org/murraymanor
"9405 Gregory Street, 
La Mesa, CA  91942",La Mesa,La Mesa-Spring Valley School District,694,0620250,487,(619) 668-8340,K-6,5972,5,32.790905,-116.99398,Northmont Elementary School,062025002440,https://www.greatschools.org/california/la-mesa/5972-Northmont-Elementary-School/?s_cid=gsapi,(619) 668-5830,https://www.greatschools.org/school/rating.page?state=CA&id=5972&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5972&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5972,CA,public,http://www.lmsvschools.org/northmont
"9009 Park Plaza Drive, 
La Mesa, CA  91942",La Mesa,La Mesa-Spring Valley School District,694,0620250,737,(619) 668-5779,7-8,5973,7,32.791298,-117.00296,Parkway Middle School,062025002441,https://www.greatschools.org/california/la-mesa/5973-Parkway-Middle-School/?s_cid=gsapi,(619) 668-5810,https://www.greatschools.org/school/rating.page?state=CA&id=5973&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5973&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5973,CA,public,http://www.lmsvsd.k12.ca.us
"6925 Tower Street, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,561,(619) 668-5805,K-6,5975,7,32.76321,-117.04875,Rolando Elementary School,062025002443,https://www.greatschools.org/california/la-mesa/5975-Rolando-Elementary-School/?s_cid=gsapi,(619) 668-5800,https://www.greatschools.org/school/rating.page?state=CA&id=5975&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5975&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5975,CA,public,http://www.lmsvsd.k12.ca.us/schools/rol/rol_home.htm
"8693 La Mesa Boulevard, 
La Mesa, CA  91941",La Mesa,Grossmont Union High School District,688,0616230,,(619) 596-7815,9-12,12324,,32.7695,-117.00992,Gateway West Community Day School,061623011229,https://www.greatschools.org/california/la-mesa/12324-Gateway-West-Community-Day-School/?s_cid=gsapi,(619) 667-2707,https://www.greatschools.org/school/rating.page?state=CA&id=12324&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12324&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12324,CA,public,http://gatewaywest.guhsd.net/
"7921 La Mesa Boulevard, 
La Mesa, CA  91942",La Mesa,,,,255,,PK-8 & ungraded,8631,,32.765926,-117.02779,Christ Lutheran School,00082516,https://www.greatschools.org/california/la-mesa/8631-Christ-Lutheran-School/?s_cid=gsapi,(619) 462-5211,https://www.greatschools.org/school/rating.page?state=CA&id=8631&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8631&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8631,CA,private,http://www.lutheranschool.org
"1100 Murray Drive, 
La Mesa, CA  91944",La Mesa,Grossmont Union High School District,688,0616230,,(619) 698-5648,9-12,12402,,32.78067,-116.98498,Grossmont Union High Special Education Program School,061623002027,https://www.greatschools.org/california/la-mesa/12402-Grossmont-Union-High-Special-Education-Program-School/?s_cid=gsapi,(619) 644-8115,https://www.greatschools.org/school/rating.page?state=CA&id=12402&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12402&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12402,CA,public,http://guhsd.net/
"3845 Avocado School Road, 
La Mesa, CA  91941",La Mesa,Cajon Valley Union School District,676,0606810,561,(619) 579-4872,K-5,5799,6,32.75042,-116.95952,Avocado Elementary School,060681000604,https://www.greatschools.org/california/la-mesa/5799-Avocado-Elementary-School/?s_cid=gsapi,(619) 588-3100,https://www.greatschools.org/school/rating.page?state=CA&id=5799&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5799&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5799,CA,public,http://www.cajonvalley.net/avocado
"1100 Murray Drive, 
La Mesa, CA  91944",La Mesa,Grossmont Union High School District,688,0616230,2394,(619) 463-7108,9-12,5926,6,32.78067,-116.98498,Grossmont High School,061623002022,https://www.greatschools.org/california/la-mesa/5926-Grossmont-High-School/?s_cid=gsapi,(619) 668-6000,https://www.greatschools.org/school/rating.page?state=CA&id=5926&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5926&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5926,CA,public,http://grossmont.guhsd.net/
"7323 University Avenue, 
La Mesa, CA  91941",La Mesa,Grossmont Union High School District,688,0616230,2445,(619) 462-9257,9-12,5927,8,32.75593,-117.03981,Helix High School,061623002023,https://www.greatschools.org/california/la-mesa/5927-Helix-High-School/?s_cid=gsapi,(619) 466-4194,https://www.greatschools.org/school/rating.page?state=CA&id=5927&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5927&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5927,CA,charter,www.helixcharter.net
"5911 Severin Drive, 
La Mesa, CA  91942",La Mesa,,,,40,,PK-6,17748,,32.78655,-116.99877,Applied Scholastics Academy San Diego,,https://www.greatschools.org/california/la-mesa/17748-Applied-Scholastics-Academy-San-Diego/?s_cid=gsapi,(610) 464-4222,https://www.greatschools.org/school/rating.page?state=CA&id=17748&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17748&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/17748,CA,private,http://www.aps-academy-sandiego.org
"7708 El Cajon Boulevard, 
La Mesa, CA  91942",La Mesa,,,,250,(619) 466-0285,K-8,8370,,32.769028,-117.0316,St. Martin Of Tours Academy,00076885,https://www.greatschools.org/california/la-mesa/8370-St.-Martin-Of-Tours-Academy/?s_cid=gsapi,(619) 466-3241,https://www.greatschools.org/school/rating.page?state=CA&id=8370&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8370&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8370,CA,private,http://www.stmartinoftoursacademy.org/
"7484 University Ave Ste 100, 
La Mesa, CA  91941",La Mesa,,,,63,(619) 589-9267,PK-6,8787,,32.758842,-117.03638,College Center Montessori School,00087387,https://www.greatschools.org/california/la-mesa/8787-College-Center-Montessori-School/?s_cid=gsapi,(619) 589-4196,https://www.greatschools.org/school/rating.page?state=CA&id=8787&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8787&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8787,CA,private,WWW.ccmontessori.com
"9191 Fletcher Parkway, 
La Mesa, CA  91942",La Mesa,,,,31,,K-8,8878,,32.79405,-117.0015,Shepherd Of The Hills Lutheran,00090549,https://www.greatschools.org/california/la-mesa/8878-Shepherd-Of-The-Hills-Lutheran/?s_cid=gsapi,(619) 469-9443,https://www.greatschools.org/school/rating.page?state=CA&id=8878&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8878&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8878,CA,private,http://www.sothschool.org
"5955 Severin Drive, 
La Mesa, CA  91942",La Mesa,,,,194,(619) 466-1448,K-9,11278,,32.786842,-116.998146,Mt. Helix Academy,02158734,https://www.greatschools.org/california/la-mesa/11278-Mt.-Helix-Academy/?s_cid=gsapi,(619) 243-1400,https://www.greatschools.org/school/rating.page?state=CA&id=11278&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11278&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/11278,CA,private,http://www.mthelixacademy.org/
"online, 
La Mesa, CA  91941",La Mesa,,,,10,,3,32290,,32.76783,-117.02309,MLRA Online,,https://www.greatschools.org/california/la-mesa/32290-MLRA-Online/?s_cid=gsapi,(641) 715-3900 x59411,https://www.greatschools.org/school/rating.page?state=CA&id=32290&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32290&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/32290,CA,private,http://www.mlrfashdesignpresentation.com/
"8691 Echo Drive, 
La Mesa, CA  91941",La Mesa,Grossmont Union High School District,688,0616230,,,9-12,13706,,32.75633,-117.0095,Gateway Community Day School,061623008595,https://www.greatschools.org/california/la-mesa/13706-Gateway-Community-Day-School/?s_cid=gsapi,(619) 258-3740,https://www.greatschools.org/school/rating.page?state=CA&id=13706&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=13706&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/13706,CA,public,
"4215 Spring Street, Suite A-104, 
La Mesa, CA  91941",La Mesa,San Diego Unified School District,705,0634320,964,(619) 463-0052,K-12,14557,4,32.912083,-117.11135,Learning Choice Academy,063432011139,https://www.greatschools.org/california/la-mesa/14557-Learning-Choice-Academy/?s_cid=gsapi,(619) 463-6849,https://www.greatschools.org/school/rating.page?state=CA&id=14557&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14557&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14557,CA,charter,www.learningchoice.org
"4414 Alta Mira Drive, 
La Mesa, CA  91941",La Mesa,,,,,,1-12,24001,,32.758007,-116.97079,Timmons Promovet Versus Academia,,https://www.greatschools.org/california/la-mesa/24001-Timmons-Promovet-Versus-Academia/?s_cid=gsapi,(619) 713-2744,https://www.greatschools.org/school/rating.page?state=CA&id=24001&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=24001&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/24001,CA,private,
"5150 Jackson Drive, 
La Mesa, CA  91942",La Mesa,Mountain Empire Unified School District,695,0626100,230,(619) 303-3759,5-8,25221,10,32.772594,-117.011116,College Preparatory Middle School,062610012759,https://www.greatschools.org/california/la-mesa/25221-College-Preparatory-Middle-School/?s_cid=gsapi,(619) 303-2782,https://www.greatschools.org/school/rating.page?state=CA&id=25221&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25221&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25221,CA,charter,
"5300 Jackson Drive, 
La Mesa, CA  91942",La Mesa,,,,15,,K-8,25539,,32.775585,-117.013916,Leo Hamel K-8 Academy,A0900294,https://www.greatschools.org/california/la-mesa/25539-Leo-Hamel-K-8-Academy/?s_cid=gsapi,(619) 667-4299,https://www.greatschools.org/school/rating.page?state=CA&id=25539&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25539&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/25539,CA,private,
"9407 Jericho Road, 
La Mesa, CA  91942",La Mesa,,,,,,1-12,26270,,32.78688,-116.99371,San Diego Bible Heritage School,,https://www.greatschools.org/california/la-mesa/26270-San-Diego-Bible-Heritage-School/?s_cid=gsapi,(619) 667-9119,https://www.greatschools.org/school/rating.page?state=CA&id=26270&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=26270&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/26270,CA,private,
"519 La Presa Street, 
Spring Valley, CA  91977",Spring Valley,La Mesa-Spring Valley School District,694,0620250,456,(619) 668-5795,K-6,5965,5,32.706463,-116.99216,La Presa Elementary School,062025002433,https://www.greatschools.org/california/spring-valley/5965-La-Presa-Elementary-School/?s_cid=gsapi,(619) 668-5790,https://www.greatschools.org/school/rating.page?state=CA&id=5965&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5965&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5965,CA,public,
"1001 Leland Street, 
Spring Valley, CA  91977",Spring Valley,La Mesa-Spring Valley School District,694,0620250,530,(619) 668-8305,7-8,5966,,32.7123,-117.00487,La Presa Middle School,062025002434,https://www.greatschools.org/california/spring-valley/5966-La-Presa-Middle-School/?s_cid=gsapi,(619) 668-5720,https://www.greatschools.org/school/rating.page?state=CA&id=5966&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5966&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5966,CA,public,http://www.lmsvsd.k12.ca.us/Domain/26
"1001 Leland Street, 
Spring Valley, CA  91977",Spring Valley,La Mesa-Spring Valley School District,694,0620250,,,4-8,32167,,32.711666,-117.00518,"Science, Technology, Engineering, Arts, And Math Academy At La Presa",,"https://www.greatschools.org/california/spring-valley/32167-Science,-Technology,-Engineering,-Arts,-And-Math-Academy-At-La-Presa/?s_cid=gsapi",(619) 668-5720,https://www.greatschools.org/school/rating.page?state=CA&id=32167&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32167&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32167,CA,public,
"8401 Stansbury Street, 
Spring Valley, CA  91977",Spring Valley,La Mesa-Spring Valley School District,694,0620250,540,(619) 668-8330,K-6,5957,4,32.71825,-117.01728,Avondale Elementary School,062025002424,https://www.greatschools.org/california/spring-valley/5957-Avondale-Elementary-School/?s_cid=gsapi,(619) 668-5880,https://www.greatschools.org/school/rating.page?state=CA&id=5957&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5957&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5957,CA,public,http://www.lmsvschools.org/avondale
"8805 Tyler Street, 
Spring Valley, CA  91977",Spring Valley,La Mesa-Spring Valley School District,694,0620250,652,(619) 668-8335,K-6,5958,2,32.72942,-117.00829,Bancroft Elementary School,062025002425,https://www.greatschools.org/california/spring-valley/5958-Bancroft-Elementary-School/?s_cid=gsapi,(619) 668-5890,https://www.greatschools.org/school/rating.page?state=CA&id=5958&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5958&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5958,CA,public,http://www.lmsvsd.k12.ca.us/Domain/9
