CDSCode,District,School,Street,StreetAbr,City,*,State,Phone,OpenDate,Charter,DOCType,SOC,SOCType,GSoffered,Latitude,Longitude,LastUpdate,2016-2017 Total Enrollment,2015-2016 ELA Current Status (avg. distance from level 3),2015-2016 ELA Prior Status (age. Distance from level 3),2015-2016 ELA Change (Difference between current and prior status),2015-2016 ELA Status Level,2015-2016 ELA Status Level (Decode),2015-2016 ELA Change Level,2015-2016 ELA Change Level (Decode),2015-2016 ELA Color,2015-2016 ELA Color (Decode),2015-2016 ELA box,2015-2016 ELA box (Decode),2015-2016 Math Current Status (avg. distance from level 3),2015-2016 Math Prior Status (age. Distance from level 3),2015-2016 Math Change (Difference between current and prior status),2015-2016 Math Status Level,2015-2016 Math Status Level (Decode),2015-2016 Math Change Level,2015-2016 Math Change Level (Decode),2015-2016 Math Color,2015-2016 Math Color (Decode),2015-2016 Math box,2015-2016 Math box (Decode),2016-2017 English Language Learners,2016-2017 % English Language Learners,2016-2017 FRPM Count,2016-2017 % FRPM Count,2015-2016 SAT: AvgScrRead,2015-2016 SAT: AvgScrMath,2015-2016 SAT: AvgScrWrit,2015-2016 SAT: Number of Test Takers Whose Total 2015-2016 SAT Scores Are Greater or Equal to 1500,2015-2016 SAT: % of Test Takers Whose Total 2015-2016 SAT Scores Are Greater or Equal to 1500,2015-2016 Enrollment Grades 10-12,2015-2016 AP Number Tested,2015-2016 % AP Number Tested,2015-2016 AP Score = 1,2015-2016 AP Score = 2,2015-2016 AP Score = 3,2015-2016 AP Score = 4,2015-2016 AP Score = 5,% 2015-2016 AP Score = 1,% 2015-2016 AP Score = 2,% 2015-2016 AP Score = 3,% 2015-2016 AP Score = 4,% 2015-2016 AP Score = 5,IB,AVID,Dual Language,Arts,Education Equity,US News 
37680236037972,Chula Vista Elementary,Palomar Elementary,300 East Palomar Street,300 East Palomar St.,Chula Vista,91911-3799,CA,(619) 420-0134,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.613776,-117.04282,8/10/2015,363,4.8,-1.4,6.2,3,Medium,3,Maintained,3,Yellow,130,"Medium, Maintained",-18.1,-33.3,15.2,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",144,40%,273,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680236066971,Chula Vista Elementary,Parkview Elementary,575 Juniper Street,575 Juniper St.,Chula Vista,91911-3826,CA,(619) 421-5483,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.612989,-117.03115,6/18/2015,376,52.1,30,22.1,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",9.4,-6.8,16.2,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",100,27%,177,47%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680236037931,Chula Vista Elementary,Rice (Lilian J.) Elementary,915 Fourth Avenue,915 Fourth Ave.,Chula Vista,91911-2098,CA,(619) 420-7071,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.619137,-117.07569,12/30/2016,650,-10.8,-23.4,12.6,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-33.5,-51.6,18.1,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",332,51%,540,83%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680236037857,Chula Vista Elementary,Rogers (Greg) Elementary,510 East Naples Street,510 East Naples St.,Chula Vista,91911-2519,CA,(619) 656-2082,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.611251,-117.07781,1/21/2016,450,17.8,5,12.8,4,High,4,Increased,4,Green,90,"High, Increased",-32.3,-41.1,8.7,2,Low,4,Increased,3,Yellow,190,"Low, Increased",137,30%,261,58%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680236037840,Chula Vista Elementary,Rohr (Fred H.) Elementary,1540 Malta Avenue,1540 Malta Ave.,Chula Vista,91911-5999,CA,(619) 420-5533,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.602452,-117.04055,6/30/2016,321,-8.7,-35.2,26.6,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",-28.8,-47.1,18.3,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",144,45%,257,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680236037998,Chula Vista Elementary,Rosebank Elementary,80 Flower Street,80 Flower St.,Chula Vista,91911-1997,CA,(619) 422-8329,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.649741,-117.07336,6/30/2016,568,6,-13.2,19.2,3,Medium,4,Increased,4,Green,140,"Medium, Increased",-19.7,-27.5,7.8,3,Medium,4,Increased,4,Green,140,"Medium, Increased",176,31%,420,74%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680230105965,Chula Vista Elementary,Salt Creek Elementary,1055 Hunte Parkway,1055 Hunte Pkwy.,Chula Vista,91914-3622,CA,(619) 397-5494,9/7/2004,N,Elementary School District,,Elementary Schools (Public),K-6,32.649018,-116.94925,8/10/2015,968,58.4,26.3,32.1,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",30.5,15.3,15.2,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",253,26%,122,13%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680236038004,Chula Vista Elementary,Silver Wing Elementary,3730 Arey Drive,3730 Arey Dr.,San Diego,92154-2422,CA,(619) 423-3950,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.578749,-117.05258,6/18/2015,438,15.6,12.1,3.5,4,High,3,Maintained,4,Green,80,"High, Maintained",-28.9,-17.5,-11.4,2,Low,1,Decreased Significantly,1,Red,160,"Low, Declined Significantly",214,49%,344,79%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,x,
37680236038012,Chula Vista Elementary,Sunnyside Elementary,5430 San Miguel Road,5430 San Miguel Rd.,Bonita,91902-2209,CA,(619) 479-0571,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.674619,-117.01545,6/18/2015,456,32.7,14.7,18,4,High,4,Increased,4,Green,90,"High, Increased",7.6,-8.3,15.9,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",82,18%,147,32%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680236095020,Chula Vista Elementary,Tiffany (Burton C.) Elementary,1691 Elmhurst Street,1691 Elmhurst St.,Chula Vista,91913-2612,CA,(619) 421-6300,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.64483,-116.99102,8/10/2015,520,23.8,-9.4,33.2,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",-18.7,-37.7,19,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",89,17%,196,38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680236038020,Chula Vista Elementary,Valle Lindo Elementary,1515 Oleander Avenue,1515 Oleander Ave.,Chula Vista,91911-5699,CA,(619) 421-5151,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.604937,-117.03275,6/18/2015,474,4.2,-27,31.2,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",-31.5,-43,11.6,2,Low,4,Increased,3,Yellow,190,"Low, Increased",189,40%,281,59%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680236038038,Chula Vista Elementary,Valley Vista Elementary,3724 Valley Vista Way,3724 Valley Vista Way,Bonita,91902-1139,CA,(619) 479-7171,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.659676,-117.04907,6/18/2015,622,-0.1,-28,27.9,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",-34.4,-42.1,7.7,2,Low,4,Increased,3,Yellow,190,"Low, Increased",154,25%,327,53%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680230108662,Chula Vista Elementary,Veterans Elementary,1550 Magdalena Avenue,1550 Magdalena Ave.,Chula Vista,91913-3948,CA,(619) 216-1226,7/19/2005,N,Elementary School District,,Elementary Schools (Public),K-6,32.623835,-116.97634,8/10/2015,892,51.8,25.6,26.2,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",35.7,13.5,22.2,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",195,22%,196,22%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680236038046,Chula Vista Elementary,Vista Square Elementary,540 G Street,540 G St.,Chula Vista,91910-3604,CA,(619) 422-8374,7/1/1943,N,Elementary School District,,Elementary Schools (Public),K-6,32.635041,-117.08832,2/9/2017,648,-26.4,-27.8,1.4,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",-59.4,-63.9,4.4,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",349,54%,548,85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680230114009,Chula Vista Elementary,Wolf Canyon Elementary,1950 Wolf Canyon Loop,1950 Wolf Canyon Loop,Chula Vista,91913-3948,CA,(619) 482-8877,7/17/2007,N,Elementary School District,,Elementary Schools (Public),K-6,32.611931,-116.97324,3/8/2017,917,61.3,48.1,13.1,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",27.1,10,17,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",180,20%,169,18%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680313731478,Coronado Unified,Coronado High,650 D Avenue,650 D Ave.,Coronado,92118-2113,CA,(619) 522-8907,7/1/1980,N,Unified School District,,High Schools (Public),9-12,32.691403,-117.17817,11/23/2016,1211,46,70.6,-24.6,0,No Data,0,No Data,0,No Color,0,NO COLOR,3,-11.3,14.3,0,No Data,0,No Data,0,No Color,0,No Color,10,1%,67,6%,563,549,533,165,72%,927,411,44%,59,197,333,203,145,14%,48%,81%,49%,35%,,,,x,,Gold
37680316059570,Coronado Unified,Coronado Middle,550 F Avenue,550 F Ave.,Coronado,92118-2110,CA,(619) 522-8921,7/1/1980,N,Unified School District,,Intermediate/Middle Schools (Public),6-8,32.69378,-117.17956,8/3/2016,709,56.9,54,2.9,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",32.4,30.6,1.8,4,High,3,Maintained,4,Green,80,"High, Maintained",18,3%,58,8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680316038053,Coronado Unified,Coronado Village Elementary,600 Sixth Street,600 Sixth St.,Coronado,92118-1600,CA,(619) 522-8919,7/1/1980,N,Unified School District,,Elementary Schools (Public),K-5,32.693914,-117.18213,6/18/2015,803,45.5,35.1,10.4,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",32.8,24.9,8,4,High,4,Increased,4,Green,90,"High, Increased",50,6%,69,9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680316038087,Coronado Unified,Silver Strand Elementary,1350 Leyte Road,1350 Leyte Rd.,Coronado,92118-3124,CA,(619) 522-8934,7/1/1980,N,Unified School District,,Elementary Schools (Public),K-5,32.643984,-117.14542,8/1/2016,335,42.1,40.8,1.3,4,High,3,Maintained,4,Green,80,"High, Maintained",21.1,18.6,2.5,4,High,3,Maintained,4,Green,80,"High, Maintained",20,6%,50,15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680490127167,Dehesa Elementary,Community Montessori Charter,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,8/26/2013,Y,Elementary School District,,K-12 Schools (Public),K-8,33.12945,-117.11225,10/18/2016,601,10,3.2,6.7,4,High,3,Maintained,4,Green,80,"High, Maintained",-17.6,-33.1,15.6,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",18,3%,57,9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680496119564,Dehesa Elementary,Dehesa Charter,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,10/15/2001,Y,Elementary School District,,K-12 Schools (Public),K-12,33.129838,-117.11193,6/18/2015,1057,-37.6,-29.5,-8.1,0,No Data,0,No Data,0,No Color,0,NO COLOR,-86,-79.3,-6.7,0,No Data,0,No Data,0,No Color,0,No Color,22,2%,239,23%,*,*,*,*,#VALUE!,202,3,1%,*,*,*,*,*,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,x,,,,
37680496038095,Dehesa Elementary,Dehesa Elementary,4612 Dehesa Road,4612 Dehesa Rd.,El Cajon,92019-2922,CA,(619) 444-2161,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-8,32.781239,-116.8512,12/29/2016,156,-15.4,-26.1,10.7,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-42.1,-53.4,11.3,2,Low,4,Increased,3,Yellow,190,"Low, Increased",26,17%,79,51%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680490119990,Dehesa Elementary,Diego Hills Charter,4585 College Avenue,4585 College Ave.,San Diego,92115-4011,CA,(619) 286-0312,7/1/2009,Y,Elementary School District,,K-12 Schools (Public),K-12,32.760546,-117.06699,5/17/2017,1152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,14%,910,79%,*,*,*,*,#VALUE!,989,1,0%,*,*,*,*,*,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
37680490132506,Dehesa Elementary,Inspire Charter School - South,4612 Dehesa Road,4612 Dehesa Rd.,El Cajon,92019-2922,CA,(626) 932-1802,7/1/2015,Y,Elementary School District,,K-12 Schools (Public),K-12,32.781118,-116.84889,2/11/2016,2995,-32.6,#DIV/0!,#DIV/0!,0,No Data,0,No Data,0,No Color,0,NO COLOR,-89.8,#DIV/0!,#DIV/0!,0,No Data,0,No Data,0,No Color,0,No Color,118,4%,781,26%,NA,NA,NA,NA,#VALUE!,164,0,0%,N/A,N/A,N/A,N/A,N/A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
37680490127118,Dehesa Elementary,The Heights Charter,"2710 Alpine Boulevard, Suite E","2710 Alpine Blvd., Ste. E",Alpine,91901-2389,CA,(619) 792-9000,9/4/2012,Y,Elementary School District,,Elementary Schools (Public),K-8,32.835104,-116.75529,6/18/2015,231,44.7,32.6,12.1,4,High,4,Increased,4,Green,90,"High, Increased",-3,-2.8,-0.2,4,High,3,Maintained,4,Green,80,"High, Maintained",N/A,N/A,29,13%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680566115620,Del Mar Union Elementary,Ashley Falls Elementary,13030 Ashley Falls Drive,13030 Ashley Falls Dr.,San Diego,92130-3717,CA,(858) 259-7812,9/8/1998,N,Elementary School District,,Elementary Schools (Public),K-6,32.957549,-117.20781,10/8/2015,482,75.7,64.9,10.9,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",68.9,58.9,10,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",33,7%,35,7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680566110696,Del Mar Union Elementary,Carmel Del Mar Elementary,12345 Carmel Park Drive,12345 Carmel Park Dr.,San Diego,92130-2222,CA,(858) 481-6789,9/8/1992,N,Elementary School District,,Elementary Schools (Public),K-6,32.94087,-117.22955,6/18/2015,523,76.6,78.9,-2.3,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",69,71.4,-2.4,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",53,10%,29,6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,x,
37680566038111,Del Mar Union Elementary,Del Mar Heights Elementary,13555 Boquita Drive,13555 Boquita Dr.,Del Mar,92014-3453,CA,(858) 755-9367,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.945637,-117.24973,6/18/2015,479,85,83,2.1,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",64.6,67.6,-3,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",27,6%,21,4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680566088983,Del Mar Union Elementary,Del Mar Hills Elementary,14085 Mango Drive,14085 Mango Dr.,Del Mar,92014-0640,CA,(858) 755-9763,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.954058,-117.24724,6/18/2015,313,87.5,82.2,5.4,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",76.5,63.6,12.9,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",25,8%,35,11%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680560114686,Del Mar Union Elementary,Ocean Air,11444 Canter Heights Drive,11444 Canter Heights Dr.,San Diego,92130-6974,CA,(858) 481-4040,8/22/2007,N,Elementary School District,,Elementary Schools (Public),K-6,32.9281,-117.2147,6/18/2015,730,105.4,109,-3.6,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",100.1,98.4,1.8,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",24,3%,7,1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680566117923,Del Mar Union Elementary,Sage Canyon,5290 Harvest Run Drive,5290 Harvest Run Dr.,San Diego,92130-4875,CA,(858) 481-7844,9/5/2000,N,Elementary School District,,Elementary Schools (Public),K-6,32.925277,-117.20411,10/8/2015,727,87.1,82.1,5,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",79.5,81.4,-2,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",86,12%,13,2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,x,
37680560110114,Del Mar Union Elementary,Sycamore Ridge,5333 Old Carmel Valley Road,5333 Old Carmel Valley Rd.,San Diego,92130-2650,CA,(858) 755-1060,8/29/2005,N,Elementary School District,,Elementary Schools (Public),K-6,32.954011,-117.19998,6/18/2015,555,85.3,90.1,-4.9,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",74.9,74.5,0.4,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",70,13%,91,16%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680566120596,Del Mar Union Elementary,Torrey Hills,10830 Calle Mar de Mariposa,10830 Calle Mar de Mariposa,San Diego,92130-8657,CA,(858) 481-4266,9/4/2002,N,Elementary School District,,Elementary Schools (Public),K-6,32.913451,-117.2232,6/18/2015,603,77.1,79.2,-2.1,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",66.3,60.4,5.9,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",110,18%,26,4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806066989,Encinitas Union Elementary,Capri Elementary,941 Capri Road,941 Capri Rd.,Encinitas,92024-1214,CA,(760) 944-4360,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,33.076064,-117.28846,4/3/2017,706,49.3,27.3,21.9,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",37.9,18.4,19.5,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",135,19%,147,21%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680806117709,Encinitas Union Elementary,El Camino Creek Elementary,7885 Paseo Aliso,7885 Paseo Aliso,Carlsbad,92009-9028,CA,(760) 943-2051,8/16/2000,N,Elementary School District,,Elementary Schools (Public),K-6,33.077016,-117.25892,4/3/2017,615,81.3,63.8,17.5,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",68.8,56.9,11.9,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",8,1%,21,3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806099402,Encinitas Union Elementary,Flora Vista Elementary,1690 Wandering Road,1690 Wandering Rd.,Encinitas,92024-2417,CA,(760) 944-4329,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,33.055334,-117.25288,10/13/2015,457,76.1,52.9,23.2,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",62.9,49.5,13.4,5,Very High,4,Increased,5,Blue,40,"Very High, Increased",16,4%,29,6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806106132,Encinitas Union Elementary,La Costa Heights Elementary,3035 Levante Street,3035 Levante St.,Carlsbad,92009-8331,CA,(760) 944-4375,7/1/1988,N,Elementary School District,,Elementary Schools (Public),K-6,33.080785,-117.24484,6/18/2015,696,51.1,45,6.1,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",41.7,43.2,-1.6,5,Very High,2,Decreased,4,Green,20,"Very High, Declined",28,4%,49,7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806108534,Encinitas Union Elementary,Mission Estancia Elementary,3330 Calle Barcelona,3330 Calle Barcelona,Carlsbad,92009-9319,CA,(760) 943-2004,7/1/1990,N,Elementary School District,,Elementary Schools (Public),K-6,33.072276,-117.23533,6/18/2015,509,63.5,56.8,6.7,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",45.2,41.7,3.5,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",25,5%,33,6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806038152,Encinitas Union Elementary,Ocean Knoll Elementary,910 Melba Road,910 Melba Rd.,Encinitas,92024-3901,CA,(760) 944-4351,7/1/1953,N,Elementary School District,,Elementary Schools (Public),K-6,33.039889,-117.2725,6/18/2015,629,46.5,39.8,6.7,5,Very High,3,Maintained,5,Blue,30,"Very High, Maintained",29.3,28.3,0.9,4,High,3,Maintained,4,Green,80,"High, Maintained",150,24%,188,30%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,,,,,
37680806112445,Encinitas Union Elementary,Olivenhain Pioneer Elementary,8000 Calle Acervo,8000 Calle Acervo,Carlsbad,92009-8900,CA,(760) 943-2000,8/5/1994,N,Elementary School District,,Elementary Schools (Public),K-6,33.064891,-117.23227,6/18/2015,584,78.2,50.1,28.2,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",59.3,37.7,21.5,5,Very High,5,Increased Significantly,5,Blue,50,"Very High, Increased Significantly",10,2%,14,2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806095046,Encinitas Union Elementary,Park Dale Lane Elementary,2050 Park Dale Lane,2050 Park Dale Ln.,Encinitas,92024-4324,CA,(760) 944-4344,7/1/1976,N,Elementary School District,,Elementary Schools (Public),K-6,33.046392,-117.24311,4/3/2017,489,25.2,20.1,5.1,4,High,3,Maintained,4,Green,80,"High, Maintained",-1.7,4.8,-6.4,4,High,2,Decreased,3,Yellow,70,"High, Declined",39,8%,81,17%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37680806038145,Encinitas Union Elementary,Paul Ecke-Central Elementary,185 Union Street,185 Union St.,Encinitas,92024-2119,CA,(760) 944-4323,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,33.058062,-117.29703,6/18/2015,623,39.1,28.4,10.7,4,High,4,Increased,4,Green,90,"High, Increased",19.3,9.7,9.6,4,High,4,Increased,4,Green,90,"High, Increased",109,17%,163,26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37680980102590,Escondido Union,Bear Valley Middle,3003 Bear Valley Parkway,3003 Bear Valley Pkwy.,Escondido,92025-7618,CA,(760) 432-4060,8/23/2004,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.083711,-117.05634,6/18/2015,1079,-15.6,-15,-0.7,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",-56.8,-60.5,3.7,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",262,24%,667,62%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,x,,,,
